idGen,gender,height,handLen,footLen
1,1,1829.356,205.7455,294.1762
2,1,1730.262,197.5946,283.2275
3,1,1723.99,193.6019,238.9127
4,1,1748.885,224.5994,289.407
5,1,1697.573,200.8021,247.0631
6,1,1716.742,208.9908,244.4497
7,1,1795.898,222.4133,282.6041
8,1,1821.308,202.1793,274.4192
9,1,1626.03,187.8969,244.4852
10,1,1744.33,207.4033,260.2666
11,1,1768.428,213.3149,264.8073
12,1,1718.459,203.6069,256.0351
13,1,1798.466,226.77,272.0488
14,1,1703.325,200.3951,254.8291
15,1,1732.52,210.4045,259.3126
16,1,1677.018,197.9044,254.3102
17,1,1728.058,211.8861,238.7606
18,1,1834.025,219.3376,273.7211
19,1,1774.187,208.0897,268.354
20,1,1770.667,210.8226,263.9006
21,1,1793.552,221.302,251.248
22,1,1703.094,201.9417,252.4169
23,1,1780.013,210.841,265.1756
24,1,1836.38,219.6154,276.9062
25,1,1675.724,197.3375,252.202
26,1,1808.456,207.3986,276.8684
27,1,1829.283,220.003,270.8724
28,1,1733.799,208.6849,259.4957
29,1,1771.966,213.2182,261.4367
30,1,1662.344,191.0207,261.3961
31,1,1762.072,210.1435,265.034
32,1,1722.422,217.431,254.9111
33,1,1811.7,223.1808,260.473
34,1,1916.381,204.9154,306.5598
35,1,1788.686,206.6892,268.4311
36,1,1668.41,207.2907,245.5345
37,1,1643.65,204.517,266.8281
38,1,1726.502,211.2237,262.9109
39,1,1644.875,192.9855,247.5259
40,1,1839.465,207.1454,259.0705
41,1,1644.501,190.5791,245.8076
42,1,1734.255,211.6938,265.4264
43,1,1694.369,197.1925,251.8973
44,1,1734.692,204.3031,263.195
45,1,1724.618,202.1299,255.1673
46,1,1795.482,212.1129,269.2999
47,1,1756.727,209.25,263.0695
48,1,1707.06,206.6099,253.1235
49,1,1894.293,228.8512,278.9128
50,1,1776.711,214.8979,269.3081
51,1,1721.296,203.4462,259.5421
52,1,1683.33,200.0539,252.3235
53,1,1804.532,215.45,273.0938
54,1,1700.272,198.8419,256.2732
55,1,1749.198,208.6355,259.7467
56,1,1782.251,209.6188,261.2955
57,1,1820.596,215.9769,271.9737
58,1,1771.443,212.5674,266.6803
59,1,1842.335,221.3785,281.7563
60,1,1754.969,209.2817,261.2926
61,1,1695.283,200.1223,257.6453
62,1,1807.975,215.0591,270.5374
63,1,1812.805,222.5044,248.1152
64,1,1786.949,225.0673,267.36
65,1,1799.783,223.3575,280.7649
66,1,1670.996,208.1723,256.9396
67,1,1845.711,219.0709,273.7473
68,1,1726.969,208.9688,254.5009
69,1,1767.308,212.2997,263.0009
70,1,1710.61,209.3822,260.0469
71,1,1746.688,208.1835,262.1912
72,1,1752.205,208.4196,262.4943
73,1,1683.291,196.1687,264.4723
74,1,1687.467,195.9891,254.7247
75,1,1762.697,210.1432,264.2677
76,1,1684.885,198.3993,250.2781
77,1,1755.807,210.1083,263.3175
78,1,1659.783,195.1726,240.5357
79,1,1855.136,222.061,273.5965
80,1,1681.221,210.2351,246.6909
1,2,1613.145,205.5005,225.4533
2,2,1534.778,202.3615,255.3035
3,2,1718.329,185.384,258.1905
4,2,1603.513,181.5165,212.7381
5,2,1649.51,202.0504,221.5679
6,2,1548.493,186.5726,221.4672
7,2,1570.411,187.4032,226.2555
8,2,1580.711,182.6747,233.2705
9,2,1611.906,189.8559,236.099
10,2,1628.88,195.8207,237.0431
11,2,1609.72,189.5092,236.6913
12,2,1573.106,173.9024,236.7386
13,2,1568.16,181.4714,226.8468
14,2,1678.01,204.7375,248.0484
15,2,1533.596,178.1397,237.5494
16,2,1608.283,190.6066,230.0913
17,2,1615.506,193.158,237.2183
18,2,1636.973,194.8107,242.7696
19,2,1644.369,199.0513,241.8558
20,2,1526.737,168.2262,223.1753
21,2,1598.969,188.0438,234.349
22,2,1645.006,196.1444,245.6662
23,2,1627.908,189.7374,243.7997
24,2,1604.833,190.2153,236.9781
25,2,1627.118,190.1675,232.2061
26,2,1506.618,179.3141,219.6635
27,2,1662.486,205.6843,245.5816
28,2,1551.638,177.4491,224.9979
29,2,1506.88,170.0202,208.0817
30,2,1568.376,182.1857,239.754
31,2,1488.552,167.6348,205.0412
32,2,1564.654,191.9101,221.5147
33,2,1654.544,186.642,248.9815
34,2,1530.828,179.1645,217.2453
35,2,1550.398,175.5777,237.8273
36,2,1608.806,191.157,235.5767
37,2,1570.173,191.7757,240.3965
38,2,1590.63,185.5971,217.8373
39,2,1598.722,188.0972,227.7891
40,2,1691.846,218.9572,253.3558
41,2,1651.591,200.9891,265.1709
42,2,1636.735,197.5222,237.0757
43,2,1478.364,175.9146,213.871
44,2,1605.984,188.2174,237.1849
45,2,1596.806,190.5972,221.1227
46,2,1563.087,189.524,227.6614
47,2,1631.666,199.5651,244.8184
48,2,1656.971,207.5607,252.7317
49,2,1589.177,187.4058,232.723
50,2,1522.643,189.728,240.7282
51,2,1639.86,192.9548,251.8979
52,2,1575.105,190.8592,241.4443
53,2,1653.938,199.1287,243.6018
54,2,1600.071,188.5079,239.2087
55,2,1543.79,191.9813,220.2006
56,2,1599.91,187.9325,236.7088
57,2,1639.387,192.1129,247.4112
58,2,1600.085,186.8894,232.4025
59,2,1617.5,192.9681,242.5656
60,2,1572.431,179.082,216.7784
61,2,1562.793,184.5703,229.5166
62,2,1644.751,200.1117,247.2614
63,2,1589.818,186.1895,229.5154
64,2,1582.425,188.409,230.7202
65,2,1590.39,186.748,226.5351
66,2,1700.046,193.1567,253.7058
67,2,1663.091,205.136,236.1738
68,2,1576.141,182.082,231.8576
69,2,1583.988,185.1971,227.5404
70,2,1608.362,189.4991,235.6115
71,2,1546.848,182.3627,222.5443
72,2,1602.703,188.1426,235.4272
73,2,1671.917,189.6964,250.4256
74,2,1625.468,188.1226,228.7377
75,2,1643.039,201.4073,250.3533
